Pattern,total_trades,wins,losses,win_rate,avg_win_pips,avg_loss_pips,expectancy
BearishBreakout,879,557,322,0.6336746302616609,-18.756552962298027,17.915838509316664,-5.322525597269663
BearishEMACross,99,55,44,0.5555555555555556,-41.77272727272737,28.322727272727107,-10.61919191919205
BearishEngulfing,296,173,123,0.5844594594594594,-24.331791907514496,23.271544715447067,-4.550675675675738
BearishSweep,1025,619,406,0.6039024390243902,-24.675605815832004,25.17364532019709,-4.930439024390235
BullishBreakout,1004,630,374,0.6274900398406374,18.30619047619048,-18.05641711229945,4.760756972111562
BullishEMACross,99,58,41,0.5858585858585859,39.387931034482534,-27.607317073170762,11.642424242424097
BullishEngulfing,264,166,98,0.6287878787878788,24.90361445783131,-24.149999999999995,6.694318181818174
BullishSweep,1043,620,423,0.5944391179290508,25.69548387096779,-24.666193853427853,5.27075743048902
Consolidation,3577,1982,1595,0.5540956108470786,25.211099899091828,-24.95598746081505,2.841375454291308
HighVolumeBearish,630,389,241,0.6174603174603175,-28.501028277634962,19.30124481327797,-10.214761904761922
HighVolumeBullish,594,384,210,0.6464646464646465,28.851041666666656,-18.08095238095231,12.258922558922578
LowVolume,7,3,4,0.42857142857142855,61.633333333333724,-18.174999999999166,16.02857142857207
LowVolumeNearResistance,2855,1507,1348,0.5278458844133099,-25.83205043132053,17.405489614243326,-5.417267950963231
LowVolumeNearSupport,77,41,36,0.5324675324675324,31.658536585365887,-16.033333333333275,9.361038961039004
