DayOfWeek,total_trades,wins,losses,win_rate,avg_win_pips,avg_loss_pips,expectancy
FRIDAY,2609,1490,1119,0.5711000383288616,2.0168456375838826,-3.066577301161758,-0.16343426600230848
MONDAY,2350,1336,1014,0.5685106382978723,3.060179640718542,-3.8999013806706695,0.05697872340421806
THURSDAY,2526,1502,1024,0.5946159936658749,1.7161118508655184,-2.9969726562499703,-0.19449722882025355
TUESDAY,2519,1441,1078,0.5720524017467249,1.48063844552394,-2.233951762523214,-0.1090115125049731
WEDNESDAY,2445,1415,1030,0.5787321063394683,1.6704593639575873,-3.749417475728093,-0.6127607361962987
